time
0.325
0.302
0.313
0.32
0.313
0.31
0.275
0.27
0.269
0.27
0.273
0.264
0.281
0.268
0.273
0.271
0.262
0.264
0.266
0.27
0.27
0.274
0.269
0.271
0.242
0.263
0.265
0.293
0.274
0.262
0.274
0.262
0.268
0.276
0.255
0.261
0.27
0.267
0.28
0.267
0.269
0.262
0.269
0.269
0.272
0.266
0.263
0.266
0.27
0.278
0.286
0.271
0.267
0.268
0.269
0.273
0.285
0.266
0.269
0.277
0.279
0.266
0.288
0.278
0.279
0.272
0.255
0.266
0.271
0.263
0.27
0.272
0.256
0.262
0.272
0.271
0.268
0.263
0.265
0.266
0.273
0.275
0.265
0.269
0.268
0.274
0.276
0.263
0.267
0.272
0.262
0.264
0.286
0.263
0.262
0.251
0.277
0.271
0.268
0.262
0.269
0.266
0.294
0.263
0.258
0.278
0.262
0.268
0.273
0.266
0.263
0.27
0.266
0.267
0.27
0.278
0.298
0.309
0.292
0.27
0.269
0.263
0.263
0.274
0.263
0.254
0.261
0.269
0.28
0.263
0.268
0.268
0.27
0.274
0.272
0.271
0.264
0.269
0.275
0.273
0.265
0.274
0.265
0.264
0.278
0.268
0.265
0.265
0.276
0.271
0.274
0.267
0.266
0.284
0.269
0.265
0.269
0.268
0.256
0.263
0.275
0.26
0.268
0.274
0.261
0.274
0.278
0.261
0.258
0.26
0.284
0.268
0.269
0.262
0.266
0.255
0.274
0.262
0.267
0.267
0.255
0.272
0.273
0.265
0.267
0.271
0.294
0.273
0.268
0.266
0.265
0.279
0.277
0.265
0.266
0.268
0.262
0.274
0.272
0.27
0.265
0.271
0.27
0.266
0.268
0.263
0.265
0.27
0.272
0.268
0.27
0.257
0.264
0.291
0.261
0.265
0.268
0.26
0.271
0.273
0.264
0.258
0.266
0.269
0.271
0.274
0.267
0.255
0.256
0.288
0.268
0.268
0.271
0.261
0.274
0.283
0.267
0.273
0.267
0.266
0.27
0.269
0.265
0.27
0.275
0.267
0.259
0.266
0.27
0.263
0.279
0.27
0.27
0.274
0.267
0.268
0.285
0.259
0.255
0.273
0.282
0.268
0.262
0.271
0.267
0.27
0.279
0.265
0.259
0.268
0.267
0.273
0.27
0.263
0.262
0.272
0.273
0.279
0.278
0.255
0.254
0.269
0.276
0.27
0.266
0.266
0.266
0.277
0.264
0.265
0.262
0.265
0.271
0.276
0.269
0.263
0.272
0.275
0.269
0.278
0.272
0.282
0.261
0.272
0.259
0.259
0.27
0.262
0.271
0.269
0.262
0.266
0.257
0.265
0.271
0.263
0.264
0.26
0.261
0.279
0.266
0.273
0.272
0.267
0.272
0.277
0.259
0.266
0.27
0.275
0.272
0.273
0.262
0.252
0.267
0.282
0.27
0.268
0.271
0.261
0.257
0.283
0.274
0.276
0.271
0.265
0.269
0.265
0.261
0.266
0.259
0.273
0.263
0.265
0.267
0.265
0.277
0.269
0.262
0.268
0.263
0.263
0.266
0.275
0.27
0.263
0.264
0.262
0.271
0.269
0.267
0.273
0.267
0.249
0.254
0.251
0.255
0.26
0.266
0.263
0.271
0.243
0.255
0.264
0.276
0.268
0.263
0.267
0.247
0.27
0.262
0.261
0.263
0.267
0.245
0.269
0.251
0.268
0.283
0.295
0.298
0.288
0.293
0.288
0.294
0.285
0.25
0.275
0.266
0.245
0.275
0.26
0.269
0.271
0.254
0.266
0.254
0.25
0.255
0.241
0.262
0.258
0.272
0.256
0.271
0.247
0.263
0.254
0.259
0.271
0.262
0.249
0.272
0.263
0.248
0.271
0.247
0.251
0.255
0.267
0.268
0.261
0.262
0.273
0.257
0.26
0.252
0.27
0.25
0.243
0.269
0.253
0.272
0.274
0.274
0.245
0.266
0.244
0.268
0.252
0.273
0.263
0.241
0.259
0.253
0.275
0.273
0.256
0.253
0.266
0.255
0.26
0.273
0.27
0.266
0.266
0.271
0.256
0.262
0.268
0.257
0.249
0.28
0.261
0.244
0.254
0.266
0.268
0.253
0.264
0.239
0.267
0.248
0.278
0.261
0.259
0.257
0.245
0.256
0.254
0.262
0.267
0.252
0.249
0.281
0.256
0.264
0.244
0.263
0.264
0.251
0.271
0.249
0.269
0.271
0.272
0.249
0.274
0.279
0.256
0.264
0.274
0.261
0.254
0.273
0.263
0.243
0.268
0.249
0.266
0.265
0.271
0.249
0.263
0.254
0.262
0.267
0.243
0.252
0.263
0.279
0.26
0.273
0.262
0.25
0.258
0.267
0.252
0.264
0.252
0.276
0.262
0.269
0.272
0.256
0.25
0.253
0.239
0.268
0.272
0.267
0.263
0.261
0.273
0.271
0.248
0.274
0.261
0.244
0.27
0.268
0.255
0.245
0.269
0.254
0.269
0.271
0.271
0.262
0.266
0.275
0.264
0.25
0.276
0.276
0.253
0.265
0.266
0.249
0.267
0.245
0.274
0.243
0.253
0.273
0.25
0.273
0.27
0.26
0.24
0.261
0.249
0.269
0.256
0.256
0.276
0.267
0.271
0.265
0.247
0.253
0.248
0.272
0.258
0.264
0.244
0.26
0.254
0.247
0.279
0.251
0.267
0.251
0.26
0.255
0.247
0.27
0.271
0.25
0.258
0.27
0.26
0.245
0.27
0.272
0.264
0.253
0.262
0.252
0.248
0.277
0.265
0.253
0.27
0.243
0.263
0.257
0.261
0.249
0.258
0.265
0.283
0.259
0.253
0.25
0.264
0.25
0.272
0.253
0.264
0.261
0.247
0.277
0.257
0.247
0.265
0.261
0.249
0.266
0.277
0.262
0.261
0.27
0.276
0.257
0.254
0.27
0.261
0.256
0.267
0.266
0.267
0.252
0.262
0.262
0.253
0.254
0.264
0.255
0.256
0.26
0.238
0.265
0.263
0.266
0.277
0.264
0.268
0.258
0.253
0.277
0.266
0.234
0.268
0.257
0.272
0.271
0.243
0.262
0.253
0.262
0.28
0.256
0.257
0.262
0.25
0.27
0.28
0.256
0.263
0.244
0.263
0.258
0.268
0.254
0.258
0.266
0.251
0.268
0.251
0.263
0.251
0.27
0.261
0.254
0.267
0.258
0.247
0.286
0.266
0.263
0.254
0.268
0.26
0.251
0.267
0.243
0.262
0.255
0.258
0.264
0.248
0.265
0.267
0.272
0.265
0.251
0.267
0.266
0.245
0.277
0.281
0.258
0.261
0.263
0.255
0.273
0.251
0.26
0.255
0.274
0.263
0.252
0.249
0.271
0.249
0.257
0.263
